Frequency,Gain (Input),Phase (Input),Gain (Output),Phase (Output)
1.001,0.994,12.137,1.003,0.076,16.843
1.259,0.996,16.225,1.261,0.077,21.129
1.585,0.996,115.154,1.584,0.077,119.654
1.995,0.996,-28.161,1.996,0.078,-23.755
2.512,0.996,-24.643,2.512,0.079,-15.738
3.162,0.996,168.262,3.162,0.080,179.227
3.981,0.996,-122.472,3.981,0.082,-109.153
5.012,0.996,244.391,5.012,0.085,260.289
6.310,0.996,-94.156,6.310,0.090,-75.681
7.943,0.996,38.962,7.943,0.096,59.771
10.000,0.996,45.793,10.000,0.104,68.355
12.589,0.996,80.095,12.589,0.113,103.498
15.849,0.996,-24.557,15.849,0.124,-1.377
19.953,0.996,-24.543,19.953,0.135,-2.560
25.119,0.996,26.860,25.119,0.145,46.884
31.623,0.996,155.838,31.623,0.154,-186.562
39.811,0.996,-231.422,39.811,0.161,-216.375
50.119,0.996,197.030,50.119,0.167,209.614
63.096,0.996,51.756,63.096,0.171,62.094
79.433,0.996,-57.256,79.433,0.174,-48.911
100.001,0.996,11.154,100.001,0.176,17.761
125.892,0.996,-5.517,125.892,0.177,-0.435
158.490,0.996,27.744,158.489,0.179,31.499
199.526,0.995,27.831,199.526,0.179,30.373
251.189,0.995,181.959,251.189,0.180,183.365
316.228,0.994,31.936,316.228,0.180,32.227
398.108,0.992,119.187,398.108,0.180,118.324
501.188,0.990,84.055,501.188,0.180,81.949
630.957,0.987,71.716,630.957,0.179,68.197
794.329,0.983,61.643,794.329,0.178,56.505
1000.001,0.976,25.940,1000.001,0.176,18.882
1258.925,0.965,-141.691,1258.925,0.173,-151.050
1584.893,0.951,-167.560,1584.893,0.169,-179.684
1995.263,0.930,193.905,1995.263,0.162,178.470
2511.886,0.904,-62.440,2511.886,0.153,-81.770
3162.278,0.873,-120.461,3162.278,0.141,215.743
3981.072,0.840,35.905,3981.072,0.126,7.213
5011.872,0.811,49.997,5011.872,0.111,16.304
6309.573,0.789,-68.604,6309.573,0.094,-106.906
7943.283,0.776,200.570,7943.283,0.079,158.686
9999.999,0.774,-146.273,10000.001,0.065,169.727
12589.254,0.780,-14.744,12589.254,0.053,-58.250
15848.931,0.789,97.155,15848.931,0.042,56.380
19952.623,0.799,122.965,19952.623,0.034,87.401
25118.864,0.807,85.566,25118.864,0.026,57.488
